[400.0, 34.0, 6.22, 23.48, 1306.0, 11],
[454.0, 28.0, 6.44, 29.66, 994.0, 4],
[427.0, 32.0, 6.46, 24.55, 1377.0, 5],
[438.0, 35.0, 6.28, 30.05, 1350.0, 2],
[452.0, 29.0, 5.6, 26.24, 986.0, 0],
[452.0, 28.0, 6.21, 28.78, 1119.0, 11],
[438.0, 36.0, 5.71, 29.82, 965.0, 18],
[451.0, 40.0, 6.23, 26.48, 947.0, 15],
[401.0, 40.0, 5.99, 23.87, 1171.0, 4],
[411.0, 35.0, 5.93, 25.6, 1085.0, 8],
[452.0, 32.0, 6.15, 26.78, 1347.0, 10],
[434.0, 30.0, 5.98, 28.64, 874.0, 9],
[442.0, 40.0, 5.65, 28.95, 1190.0, 0],
[449.0, 31.0, 5.97, 26.03, 869.0, 1],
[419.0, 19.0, 5.94, 28.86, 1149.0, 5],
[419.0, 18.0, 5.96, 25.41, 1215.0, 5],
[419.0, 16.0, 5.9, 28.47, 1184.0, 6],
[418.0, 16.0, 5.9, 25.35, 1330.0, 5],
[417.0, 18.0, 5.82, 28.75, 1306.0, 5],
[415.0, 19.0, 6.21, 28.33, 1392.0, 5],
[417.0, 19.0, 6.28, 25.47, 1359.0, 9],
[419.0, 17.0, 5.66, 25.56, 1254.0, 6],
[418.0, 16.0, 5.98, 27.34, 1176.0, 9],
[416.0, 16.0, 6.15, 28.64, 1176.0, 7],
[415.0, 15.0, 6.49, 25.31, 1214.0, 5],
[418.0, 19.0, 5.83, 27.49, 1283.0, 7],
[419.0, 17.0, 5.63, 28.87, 1392.0, 7],
[416.0, 18.0, 6.35, 26.23, 1188.0, 5],
[415.0, 18.0, 6.3, 25.49, 1134.0, 9],
[419.0, 18.0, 6.37, 28.66, 1147.0, 9],
[416.0, 19.0, 5.66, 26.5, 1153.0, 8],
[417.0, 16.0, 6.49, 26.88, 1143.0, 5],
[418.0, 15.0, 5.84, 26.35, 1318.0, 9],
[417.0, 15.0, 6.06, 26.98, 1301.0, 7],
[415.0, 18.0, 6.35, 27.77, 1294.0, 5],
[417.0, 18.0, 5.86, 26.32, 1317.0, 5],
[418.0, 15.0, 6.04, 28.07, 1275.0, 9],
[415.0, 16.0, 5.6, 28.67, 1302.0, 8],
[418.0, 19.0, 5.68, 26.6, 1222.0, 9],
[419.0, 15.0, 6.1, 26.75, 1176.0, 5],
[417.0, 16.0, 5.92, 28.1, 1143.0, 8],
[419.0, 17.0, 5.94, 28.36, 1301.0, 7],
[417.0, 17.0, 6.12, 26.5, 1200.0, 6],
[416.0, 19.0, 5.74, 28.45, 1101.0, 6],
[416.0, 19.0, 5.99, 27.35, 1108.0, 5],
[417.0, 17.0, 6.46, 27.64, 1201.0, 7],
[416.0, 15.0, 6.19, 27.94, 1396.0, 6],
[419.0, 16.0, 6.41, 25.71, 1278.0, 6],
[418.0, 16.0, 5.61, 26.44, 1344.0, 9],
[417.0, 19.0, 6.01, 28.57, 1289.0, 9],
[419.0, 17.0, 6.47, 25.4, 1163.0, 8],
[415.0, 17.0, 6.19, 25.36, 1330.0, 9],
[415.0, 16.0, 6.23, 25.35, 1143.0, 8],
[416.0, 19.0, 5.6, 27.04, 1161.0, 8],
[418.0, 18.0, 5.61, 29.9, 1326.0, 8],
[418.0, 17.0, 6.0, 29.72, 1160.0, 5],
[419.0, 19.0, 5.58, 29.91, 1372.0, 5],
[417.0, 16.0, 5.5, 29.57, 1202.0, 5],
[425.0, 21.0, 6.17, 27.94, 1511.0, 5],
[416.0, 20.0, 6.01, 28.76, 1517.0, 9],
[415.0, 21.0, 6.63, 27.06, 1620.0, 5],
[421.0, 22.0, 6.36, 27.68, 1731.0, 6],
[428.0, 20.0, 6.23, 29.06, 1596.0, 5],
[415.0, 22.0, 6.11, 27.69, 1693.0, 7],
[413.0, 22.0, 6.08, 26.54, 1744.0, 14],
[410.0, 22.0, 6.53, 29.71, 1693.0, 14],
[416.0, 20.0, 6.34, 26.65, 1744.0, 9],
[410.0, 22.0, 6.78, 27.26, 1787.0, 13],
[419.0, 21.0, 6.53, 26.55, 1571.0, 5],
[420.0, 21.0, 6.15, 27.01, 1504.0, 13],
[425.0, 20.0, 6.43, 26.34, 1682.0, 11],
[429.0, 21.0, 6.66, 28.65, 1587.0, 8],
[428.0, 22.0, 6.14, 30.03, 1784.0, 14],
[410.0, 22.0, 6.64, 27.94, 1592.0, 11],
[424.0, 21.0, 6.31, 29.85, 1680.0, 14],
[420.0, 21.0, 6.51, 28.22, 1735.0, 5],
[423.0, 22.0, 6.1, 28.51, 1696.0, 12],
[416.0, 20.0, 6.39, 26.54, 1411.0, 10],
[428.0, 20.0, 6.09, 29.47, 1710.0, 7],
[429.0, 22.0, 6.52, 28.47, 1623.0, 12],
[420.0, 21.0, 6.24, 26.37, 1535.0, 5],
[413.0, 21.0, 6.69, 29.31, 1413.0, 8],
[421.0, 21.0, 6.09, 27.18, 1798.0, 6],
[422.0, 22.0, 6.62, 29.55, 1410.0, 5],
[424.0, 22.0, 6.75, 27.87, 1516.0, 5],
[410.0, 22.0, 6.05, 30.18, 1410.0, 13],
[419.0, 20.0, 6.3, 26.85, 1599.0, 11],
[412.0, 20.0, 6.71, 29.01, 1454.0, 13],
[417.0, 21.0, 6.72, 28.62, 1408.0, 14],
[429.0, 22.0, 6.55, 29.53, 1461.0, 10],
[428.0, 21.0, 6.7, 27.3, 1486.0, 5],
[417.0, 20.0, 6.37, 27.55, 1682.0, 13],
[429.0, 21.0, 6.24, 26.8, 1630.0, 5],
[427.0, 22.0, 6.33, 27.4, 1476.0, 11],
[423.0, 21.0, 6.49, 27.37, 1597.0, 14],
[428.0, 20.0, 6.33, 28.44, 1526.0, 13],
[428.0, 22.0, 6.25, 26.51, 1752.0, 11],
[416.0, 20.0, 6.62, 26.34, 1681.0, 11],
[413.0, 21.0, 6.21, 28.35, 1598.0, 10],
[411.0, 20.0, 6.78, 28.05, 1721.0, 5],
